bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-05-14T23:59:34,309653000,59.451245,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:56:36,309653000,59.45124,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:55:34,309653000,59.45124667,-135.323435,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:54:21,309653000,59.45124667,-135.323435,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:53:31,309653000,59.45124667,-135.323435,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:50:33,309653000,59.451245,-135.32345,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:47:28,309653000,59.451235,-135.3234367,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:44:29,309653000,59.45124,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:42:25,309653000,59.45124,-135.32342,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:41:26,309653000,59.45124,-135.32342,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:38:26,309653000,59.451245,-135.3234117,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:36:22,309653000,59.45124667,-135.3234067,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:35:24,309653000,59.45124667,-135.3234067,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:32:24,309653000,59.45125333,-135.3234017,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:30:21,309653000,59.45124333,-135.3234067,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:29:22,309653000,59.45124333,-135.3234067,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:26:21,309653000,59.45123833,-135.3234017,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:24:22,309653000,59.45124,-135.3234067,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:23:18,309653000,59.45124,-135.3234067,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:20:17,309653000,59.45123667,-135.32341,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:18:23,309653000,59.45123167,-135.3234167,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:17:15,309653000,59.45123167,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:14:17,309653000,59.45123,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:12:19,309653000,59.45123333,-135.3234167,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:11:13,309653000,59.45123333,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:08:15,309653000,59.45123333,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:06:20,309653000,59.45123833,-135.3234217,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:05:11,309653000,59.45123833,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:02:11,309653000,59.45123833,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T23:00:17,309653000,59.451235,-135.3234117,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:59:07,309653000,59.451235,-135.3234117,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:56:09,309653000,59.45123667,-135.323415,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:54:18,309653000,59.45123833,-135.323415,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:53:07,309653000,59.45123833,-135.323415,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:50:06,309653000,59.45123333,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:48:15,309653000,59.45123167,-135.3234217,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:47:05,309653000,59.45123167,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:44:01,309653000,59.451235,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:42:17,309653000,59.451245,-135.3234233,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:41:00,309653000,59.451245,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:37:59,309653000,59.45124833,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:36:16,309653000,59.451245,-135.323425,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:35:00,309653000,59.451245,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:31:56,309653000,59.45124333,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:30:17,309653000,59.45124333,-135.3234283,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:28:55,309653000,59.45124333,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:25:56,309653000,59.45124667,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:24:13,309653000,59.45124667,-135.3234333,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:22:53,309653000,59.45124667,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:19:53,309653000,59.45124833,-135.3234367,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:18:15,309653000,59.45124833,-135.3234383,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:16:51,309653000,59.45124833,-135.3234383,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:13:52,309653000,59.45123833,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:12:12,309653000,59.45123333,-135.3234267,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:10:49,309653000,59.45123333,-135.3234267,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:07:46,309653000,59.45123333,-135.32344,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:06:15,309653000,59.45122667,-135.3234183,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:04:45,309653000,59.45122667,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:01:46,309653000,59.451225,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T22:00:13,309653000,59.45122833,-135.3234233,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:58:45,309653000,59.45122833,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:55:42,309653000,59.451225,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:54:12,309653000,59.451225,-135.3234267,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:52:41,309653000,59.451225,-135.3234267,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:49:38,309653000,59.451225,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:48:10,309653000,59.45122667,-135.3234283,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:46:37,309653000,59.45122667,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:43:35,309653000,59.45122333,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:42:09,309653000,59.45123,-135.3234267,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:40:36,309653000,59.45123,-135.3234267,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:37:35,309653000,59.45122167,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:36:12,309653000,59.45122333,-135.32342,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:34:31,309653000,59.45122333,-135.32342,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:31:32,309653000,59.45121667,-135.3234383,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:31:23,309653000,59.45122,-135.3234417,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:30:10,309653000,59.45122,-135.3234417,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:28:27,309653000,59.45122,-135.3234417,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:25:29,309653000,59.45122,-135.3234267,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:24:06,309653000,59.45121833,-135.3234283,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:22:28,309653000,59.45121833,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:19:26,309653000,59.45121833,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:18:09,309653000,59.45121833,-135.32343,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:16:26,309653000,59.45121833,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:13:22,309653000,59.45122,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:12:07,309653000,59.45122333,-135.3234467,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:10:22,309653000,59.45122333,-135.3234467,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:07:22,309653000,59.45122333,-135.3234483,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:06:06,309653000,59.45121167,-135.32343,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:04:20,309653000,59.45121167,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:01:17,309653000,59.45121,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T21:00:05,309653000,59.45121667,-135.3234183,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:58:15,309653000,59.45121667,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:55:15,309653000,59.45122,-135.3234317,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:54:03,309653000,59.45121333,-135.3234183,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:52:12,309653000,59.45121333,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:49:12,309653000,59.451205,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:48:07,309653000,59.45121667,-135.3234183,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:46:10,309653000,59.45121667,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:43:12,309653000,59.45121833,-135.32342,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:42:07,309653000,59.45121333,-135.3234183,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:40:09,309653000,59.45121333,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:37:09,309653000,59.45121,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:36:07,309653000,59.45122167,-135.3234233,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:34:07,309653000,59.45122167,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:31:07,309653000,59.45122,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:30:03,309653000,59.45123167,-135.323435,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:28:05,309653000,59.45123167,-135.323435,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:25:03,309653000,59.451235,-135.323435,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:24:02,309653000,59.45123333,-135.32344,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:22:03,309653000,59.45123333,-135.32344,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:18:59,309653000,59.451235,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:18:02,309653000,59.451235,-135.323435,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:15:57,309653000,59.451235,-135.323435,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:12:59,309653000,59.45123333,-135.3234433,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:12:03,309653000,59.451235,-135.3234417,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:09:57,309653000,59.451235,-135.3234417,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:06:56,309653000,59.45123333,-135.3234417,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:06:02,309653000,59.45123333,-135.3234333,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:03:52,309653000,59.45123333,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:00:53,309653000,59.45123667,-135.32342,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T20:00:00,309653000,59.45123667,-135.3234167,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:57:49,309653000,59.45123667,-135.3234167,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:54:49,309653000,59.45123667,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:53:57,309653000,59.451235,-135.3234217,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:51:48,309653000,59.451235,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:48:47,309653000,59.45123167,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:47:59,309653000,59.45123,-135.3234217,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:45:47,309653000,59.45123,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:42:45,309653000,59.45123,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:41:58,309653000,59.451235,-135.3234233,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:39:44,309653000,59.451235,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:36:42,309653000,59.451235,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:35:59,309653000,59.45122667,-135.3234217,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:33:41,309653000,59.45122667,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:30:38,309653000,59.45123667,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:29:57,309653000,59.45124833,-135.3234233,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:27:38,309653000,59.45124833,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:24:37,309653000,59.45123667,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:23:55,309653000,59.451225,-135.32343,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:23:20,309653000,59.451225,-135.32343,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,GLACIER BAY
2008-05-14T19:22:35,309653000,59.451225,-135.32343,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:21:34,309653000,59.451225,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:18:35,309653000,59.45123333,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:16:34,309653000,59.45123,-135.32344,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:15:31,309653000,59.45123,-135.32344,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:12:31,309653000,59.45122833,-135.3234383,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:10:32,309653000,59.451225,-135.3234283,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:09:31,309653000,59.451225,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:06:28,309653000,59.451225,-135.3234317,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:04:36,309653000,59.45123667,-135.3234433,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:03:25,309653000,59.45123667,-135.3234433,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T19:00:25,309653000,59.451235,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:58:33,309653000,59.451235,-135.3234133,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:57:26,309653000,59.451235,-135.3234133,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:54:25,309653000,59.45123833,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:52:34,309653000,59.451245,-135.3234383,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:51:21,309653000,59.451245,-135.3234383,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:48:22,309653000,59.45123667,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:46:32,309653000,59.45124,-135.3234383,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:45:19,309653000,59.45124,-135.3234383,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:42:19,309653000,59.45124167,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:40:30,309653000,59.45123833,-135.3234283,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:39:17,309653000,59.45123833,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:36:17,309653000,59.45123833,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:34:31,309653000,59.45123167,-135.323425,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:33:15,309653000,59.45123167,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:30:11,309653000,59.45124333,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:28:29,309653000,59.45123167,-135.323425,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:27:11,309653000,59.45123167,-135.323425,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:24:12,309653000,59.45124,-135.3234283,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:22:28,309653000,59.45123333,-135.3234317,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:21:07,309653000,59.45123333,-135.3234317,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:18:07,309653000,59.45124,-135.3234367,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:16:26,309653000,59.45123667,-135.3234333,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:15:06,309653000,59.45123667,-135.3234333,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:12:06,309653000,59.45123167,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:10:26,309653000,59.45124167,-135.3234233,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:09:03,309653000,59.45124167,-135.3234233,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:06:03,309653000,59.45123167,-135.3234,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:04:27,309653000,59.45123333,-135.3234183,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T18:03:01,309653000,59.45123333,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:59:59,309653000,59.45124167,-135.3234217,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:58:31,309653000,59.45123833,-135.32343,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:57:00,309653000,59.45123833,-135.32343,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:53:56,309653000,59.451235,-135.32342,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:52:28,309653000,59.45124,-135.3234383,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:50:56,309653000,59.45124,-135.3234383,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:47:55,309653000,59.45123167,-135.323415,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:47:33,309653000,59.45123167,-135.3234183,43.0,0.0,43,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
2008-05-14T17:46:26,309653000,59.45123333,-135.323415,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,SKAGWAY
